decision_key	category	title	statement	confidence	rationale	evidence_path	effective_at
prerc_architecture_audit_remediation_v0_1_0	architecture_governance	Accept PRE-RC architecture current-state remediation without scientific or active-path mutation	Accept the Stage15G PRE_RELEASE_CANDIDATE remediation after exact-original audit: stale current SSOT records are superseded, lifecycle rows are classified with the frozen vocabulary, G24 advances to PRE_BIOLOGY remaining open, and PRE_RELEASE_CANDIDATE audit closes. The active pipeline, schema v0.4.2, Stage15C clean benchmark, and scientific packages remain unchanged.	HIGH	The blocking conflicts were current-state metadata and lifecycle inconsistencies, not scientific-output failures.	/mnt/intelssd/rnatr_project/docs/stage15g/RNA_TR_Scout_PRE_RELEASE_CANDIDATE_Architecture_audit_v0.1.1.md	2026-08-11T00:30:00+00:00
stage15_active_path_promotion_state_v0_1_0	architecture_governance	Promote the generic sharded Core to the active production path	The active Core is the generic mapped-BAM plus read-coherent-source-FASTQ production entry v0.1.0, using sharded orchestrator v0.1.2, generic unit v0.1.1, evidence schema v0.4.2, portable result manifest v0.1.0, SHA-bound restart and post-publication final-state recovery. The legacy 11-row P0/P1 path is retained as history but is no longer current.	HIGH	Stage15J/L/M establish generic unit, full-input sharding, exact 100k parity, restart/no-op, PRE_BIOLOGY interface, and publication-boundary recovery while Stage15C/15E retain full-scale evidence.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
project_docs_and_downloads_canonicalization_v0_1_0	artifact_governance	Canonicalize project docs before Downloads cleanup	Promote project-wide authoritative documents to a durable one-source layout, preserve stage-local history or pointers, and only then classify, move, or delete accumulated Downloads artifacts by checksum-backed inventory.	HIGH	This prevents deletion of active evidence and avoids competing authoritative copies.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
biology_ready_core_sidecar_separation_v0_1_0	biology_output_architecture	Keep schema v0.4.2 core repeat tables stable and add read-keyed biology sidecars	The v0.4.2 core 5-table package remains the repeat-measurement source of truth. Transcript/isoform, haplotype, observability, and duplicate/molecule-independence states will be added as versioned read/evidence-keyed sidecars rather than by inflating or rewriting the core tables.	HIGH	The core already preserves repeat length, purity, LPS, segments, interruptions, alignment discordance, geometry, and censoring. The missing biology dimensions have different provenance, update cadence, missingness, and validation requirements and therefore belong in independently versioned sidecars.	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-08T13:40:00+00:00
caller_complex_strategy_gaps_deferred_from_release_engineering_v0_1_0	caller_scope	Keep complex caller coverage gaps separate from release engineering	VC, IUPAC-degenerate, complex disease-region, >100-bp repeat-unit, no-motif and unsupported-symbol strategies are not all automatically measured by the current production caller. Preserve these as explicit v0.5.0 scope limitations and future caller/biology work; do not change frozen caller semantics during current release engineering.	HIGH	The motif-job builder emits specialized strategies while the production caller adapter automatically executes only SIMPLE_PERIODIC_SCAN, MULTI_MOTIF_PERIODIC_SCAN and LONG_UNIT_21_TO_100_PERIODIC_SCAN.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/scripts/rnatr_stage15a_native_v041_runid_adapter_v0.2.1.py	2026-08-17T01:39:02+00:00
rna_comparison_panel_role	controls	Six fetal-brain datasets are a technical comparison panel	The six fetal-brain PromethION datasets are used for RNA technical-bias characterization, not claimed as biological normal controls.	HIGH	They match tissue, developmental period, laboratory, award, and platform, but library-method metadata are incomplete.	/mnt/intelssd/rnatr_project/qc/11_ont_cdna_calibration_panel_resolution/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
core_freeze_v0_1_0_acceptance_v0_1_0	core_freeze	Accept local checksummed Core Freeze v0.1.0	The validated generic Core is accepted as LOCAL_CORE_FREEZE_V0.1.0_ACCEPTED_WITH_SCOPE, permitting biology-sidecar work while public release gates remain open.	HIGH	Stage15Q golden plus Stage15R/15S exact-original closure and owner approval support the scoped local Freeze.	/mnt/intelssd/rnatr_project/docs/core_freeze/v0.1.1/RNA_TR_Scout_Core_Freeze_Packet_v0.1.1.md	2026-08-12T09:45:00+00:00
core_freeze_preservation_artifacts_required_v0_1_0	core_freeze_governance	Require Core Freeze Packet and golden regression suite	Core Freeze requires a versioned checksummed Core Freeze Packet plus a machine-executable golden regression suite. SSOT alone is not sufficient to preserve the long-term scientific contract.	HIGH	The packet preserves the concise human-readable contract and the regression suite enforces it mechanically.	/mnt/intelssd/rnatr_project/docs/governance/RNA_TR_Scout_Core_Freeze_governance_requirements_v0.1.0.md	2026-08-10T12:30:00+00:00
six_sample_scope_engineering_validation	development_scope	Six-sample panel is engineering validation only	The six 100k-read fetal-brain comparison datasets close the replay/robustness gate but will not be used to estimate a precise RNA technical floor.	HIGH	Six samples cannot separate technical variability, biological individual variability, expression/isoform differences, and sparse low-support loci with sufficient precision.	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
stage16t_user_facing_documentation_acceptance_v0_1_0	documentation	Accept current v0.5.0 RC user/developer/history navigation	Accept the current README and USER_GUIDE as the ordinary-user surface, DEVELOPMENT.md as navigation to current contracts/SSOT and post-Freeze lanes, and DEVELOPMENT_HISTORY_v0.5.0.md as non-authoritative historical navigation. Stage-numbered files remain validation/reproducibility history rather than ordinary user entry points.	HIGH	Stage16AI/AJ owner-reviewed documentation-only changes improved usability and future-development continuity without changing runtime or scientific semantics.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16am_final_pro_metadata_remediation_v0.1.0/2026-08-17T080014+0000/originals/extracted/rnatr_stage16aj_development_history_navigation.result.json	2026-08-17T08:00:14+00:00
large_file_storage	infrastructure	Large-file storage policy	New raw FASTQ and other large public datasets are downloaded directly to /media/tokushimaneuro02/T9; Intel SSD retains active indexes, catalogs, QC, manifests, scripts, and compact results.	HIGH	Avoids unnecessary Intel SSD consumption while preserving fast access to active indexes.	/mnt/intelssd/rnatr_project/qc/11_primary_fetal_brain_promethion_fastq_acquisition/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
stage15a_reference_correctness_pass_v0_1_3	integration	Stage 15A isolated 100k BAM-to-final correctness reference accepted	The isolated Stage 15A v0.1.3 path from the target 100k mapping-complete BAM and associated raw-read sequence store through schema v0.4.2 is accepted as the correctness and regression reference. It is not the active production pipeline and it has not passed the production performance gate.	HIGH	All upstream semantic comparisons, native-caller reference parity, hash-seed determinism, five-table validation, cross-table validation, exact logical package parity, and atomic publication passed. The measured reference runtime still fails both the 30-minute target and the 60-minute projected hard ceiling at 5.31M reads.	/mnt/intelssd/rnatr_project/qc/15_stage15a_bam_to_final/ENCSR307SHM_pilot100k_mm2splice_v1/v0.1.3/stage15a_reference_100k.qc.tsv	2026-08-08T06:12:17+00:00
general_locus_interpretation	interpretation	General-locus result terminology	General loci are reported as population-relative longer, shorter, central, or non-comparable RNA observations; pathogenicity is not assigned.	HIGH	Pathogenic thresholds are not established for most loci and RNA measurements do not directly reveal personal DNA genotype.	/mnt/intelssd/rnatr_project/results/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
purpose_specific_candidate_ranking_lanes_v0_1_0	interpretation_output_architecture	Use purpose-specific ranking lanes rather than one universal score	Candidate triage will maintain separate KNOWN_DISEASE, EXPANSION_DISCOVERY, RNA_PROCESSING, REPEAT_HETEROGENEITY, HAPLOTYPE_CONTROLLED, and TECHNICAL_CONFIDENCE lanes. Known disease repeats are retained independently of generic ranking thresholds.	HIGH	Expansion discovery, RNA processing, heterogeneity, phase-controlled evidence, and technical confidence answer different scientific questions and should not be collapsed into a single opaque score.	/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-08T13:40:00+00:00
parallel_11f_11h_active_v0_1_0	performance	Parallel 11f/11h active	Activate versioned 16-process multiprocessing implementations for frozen P0/P1 stages 11f and 11h; algorithms and output semantics are unchanged.	HIGH	Stage 13C matched all 49,793 jobs in both kernels; Stage 13D and 13E each matched 10/10 major artifacts while reducing the stage pair from about 508 s historically to about 75 s.	/mnt/intelssd/rnatr_project/qc/13_parallel_active_promotion/v0.1.0/parallel_active_promotion.qc.tsv	2026-08-07T08:15:00+00:00
stage13a_performance_discovery_finalized	performance	Stage 13A performance discovery finalized	Performance optimization will focus first on exact stages 11f and 11h, which together account for 80.1387% of profiled frozen-stage runtime. GPU hardware is available but GPU acceleration is not yet selected; the decision is deferred until dynamic kernel profiling.	HIGH	Runtime provenance from five complete 100k-read replays identifies 11f and 11h as the dominant stages. SHA-based source resolution identified the exact scripts. Hardware probing confirmed an RTX 3090 with 24GB VRAM and compute capability 8.6, while the current rnatr-v03 environment lacks numba, torch, cupy, and jax.	/mnt/intelssd/rnatr_project/qc/13_performance_discovery/v0.1.1/performance_discovery_hotfix.qc.tsv	2026-08-07T07:31:00+00:00
mapping_baseline_separate_from_core_v0_1_0	performance_governance	Keep minimap2 splice mapping as a separate frozen scientific baseline	The current minimap2 splice configuration remains the FASTQ-to-BAM scientific baseline outside the active Core. Mapping acceleration is a post-Freeze Performance lane gated by TR-locus recall, locus assignment and final-output parity.	HIGH	Pre-Freeze work freezes validated scientific behavior rather than beginning a new mapping-optimization effort.	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
stage15a_deterministic_250k_scaling_acceptance_v0_1_2	performance_validation	Accept deterministic 250k scaling as intermediate exact-parity evidence	Stage15A v0.1.2 passes two-replicate 250k final-package and caller reproducibility and exact nested-100k parity. It does not close G06 or authorize full 5.31M because the linear 60-minute margin is only 0.141202 minutes.	HIGH	The benchmark is deterministic and exact-parity, but the observed scaling margin is too small to absorb larger-scale nonlinearity.	/mnt/intelssd/rnatr_project/qc/15_stage15a_bam_to_final/ENCSR307SHM_stage15a250k_seed20260808_mm2splice_v1/v0.1.2_250k_scaling/stage15a_scaling_250k.qc.tsv	2026-08-09T00:00:00+00:00
stage15c_full_empirical_acceptance_v0_1_6	performance_validation	Accept full 5.31M empirical BAM-to-final with documented first-freeze tolerance	The 5,312,696-read BAM-to-final v0.1.6 run completed in 60.041256352 minutes with correctness, memory, storage, validators, runtime-generated script/path binding, and atomic publication PASS. The result is PASS_WITH_DOCUMENTED_TOLERANCE, not strict <=60-minute PASS.	HIGH	The strict threshold was exceeded by only 2.475 seconds and the predeclared thesis/core-freeze tolerance allows <=62 minutes; the 30-minute target remains open.	/mnt/intelssd/rnatr_project/qc/15_stage15c_fullscale_bam_to_final/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.6/stage15c_full_empirical_run.qc.tsv	2026-08-10T00:00:00+00:00
current_projection_implementation	pipeline	Current raw-read projection implementation	11d3 / projection v0.3.3 is current; 11d and 11d2 are superseded.	HIGH	Secondary-sequence and hard-clip fixes are incorporated.	/mnt/intelssd/rnatr_project/metadata/build_tracker/checkpoints/20260803_182703_step11_rna_repeat_pilot/step11_checkpoint.md	2026-08-06T00:00:00+00:00
current_validator	pipeline	Current Core package validation contract	Evidence schema v0.4.2 table and package validators are the current active final-package validators; the v0.3.1 assignment validator remains a supporting intermediate validator.	HIGH	The active Core publishes schema v0.4.2 only after all validators pass.	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
generic_core_input_contract_v0_1_0	pipeline	Generic Core input requires mapped BAM plus read-coherent source FASTQ	BAM alone is not the complete scientific input because raw source read sequence/quality is used by candidate extraction and hardclip-aware projection. BAM-to-final remains a timing boundary with mapping excluded.	HIGH	Stage15H-I exact-original review and Stage15J/L execution confirm the two-resource contract.	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
stage15e_determinism_restart_acceptance_v0_1_0	production_validation	Accept Stage15E scoped release-scale determinism and restart/resume	Accept exact checkpoint-based full-package reconstruction and selective caller-to-final restart/resume with corrupt-manifest rejection, atomic publication, and second-resume no-op. Preserve the explicit exclusion of upstream BAM partition/11b/11d3/11e full rerun and cross-hardware claims.	HIGH	All frozen Stage15E validators and parity checks passed and the clean Stage15C benchmark remained unchanged.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
stage16aa_independent_machine_acceptance_v0_1_0	production_validation	Accept independent-machine fresh-install validation	Accept Stage16AA as PASS for independent second-host fresh clone, fresh environment, exact network resources, automatic Core resource selection, exact Tier2 five-table parity and second-resume no-op on Linux x86-64.	HIGH	The authoritative result binds the second host, exact fixture/resource identities, automatic 1/1/2 plan, 5/5 parity and clean Git state.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16ac_resource_readiness_v0.1.0/sha256_38ba94527d42bb08e13e600ea7c41ef4768c1571a70b6d1c7e50ab9f82a544f1/originals/rnatr_stage16aa_independent_machine_fresh_validation_v0.1.0_20260817T041347Z.json	2026-08-17T05:25:37+00:00
stage16r_fresh_public_fastq_e2e_acceptance_v0_1_0	production_validation	Accept Stage16R fresh public FASTQ-to-final validation	Accept Stage16R v0.1.0 as PASS for a fresh private-GitHub clone, fresh isolated environment, validated standard resources from exact local official/reference bundles, public `rnatr-scout run` FASTQ auto-mapping, exact five-table parity, and second-resume no-op. This is fresh-machine-equivalent validation, not final proof of full large-reference/catalog network acquisition.	HIGH	The authoritative result reports source/fresh-clone head 2191352170afe284c88cccd92c192efda2465b09, Freeze root unchanged, mapping PASS, 5/5 final-table parity, post-resume 5/5 parity, clean Git state throughout, and no Core/source mutation.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16v_stage16r_evidence_binding_v0.1.0/sha256_4445143bb1f138b39e240a9ed85c8bc0f1b31ff632db9aad781b9a44f60829ee/originals/rnatr_stage16r_fresh_public_fastq_e2e_v0.1.0.json	2026-08-17T01:57:19+00:00
stage16s_cross_hardware_parity_acceptance_v0_1_0	production_validation	Accept scoped second-machine scientific parity	Accept Stage16S v0.1.1 as exact five-table scientific parity for the tested Tier2 input on the tested second Linux x86-64 machine, including native kernel execution and second-resume no-op. Do not generalize this to arbitrary platforms or hardware.	HIGH	The formal Stage16S v0.1.1 record distinguishes the corrected validator-side expected-SHA error from scientific output.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16S_CROSS_HARDWARE_PARITY_v0.1.1.md	2026-08-17T01:39:02+00:00
stage16x_full_network_fresh_install_acceptance_v0_1_0	production_validation	Accept Stage16X full-network fresh-install validation	Accept Stage16X v0.1.2 as PASS for fresh isolated source/environment/cache setup on the validated Linux x86-64 host, official GENCODE network acquisition, public catalog release-asset acquisition, public `rnatr-scout run` FASTQ auto-mapping, exact 5/5 final-table parity and second-resume no-op. This closes the intended full-network acquisition gate but is not a universal portability claim or a formal full-scale peak-disk benchmark.	HIGH	The authoritative Stage16X JSON binds exact reference/catalog downloads, standard resource validation, exact Tier3 fixture identity, final five-table SHA/row identities, mapping/resume behavior and clean Git state.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16y_stage16wx_registration_v0.1.0/sha256_75f9cc560c22adb236902324d2d4771f7a1a6fee439cedf747a9cfb163fffd09/originals/rnatr_stage16x_full_network_fresh_install_result_v0.1.2.json	2026-08-17T03:02:53+00:00
final_ranking_gate	project_state	Final ranking remains deferred to the biology and interpretation layer	Final candidate ranking remains intentionally unexecuted until versioned biology sidecars, observability and molecule-independence state, truth-bearing validation, sample-by-locus summaries, and purpose-specific ranking lanes are implemented. RNA LPS and the Core caller technical gates are no longer the blocking reason.	HIGH	The Core now measures dual LPS and has passed caller/materializer/full-scale technical gates, while G08 and G20-G23 remain open.	/mnt/intelssd/rnatr_project/validation/release_gates_v0.3.2.tsv	2026-08-11T00:30:00+00:00
six_sample_replay_complete	project_state	Six-sample frozen P0/P1 replay complete	Stage 6AM v0.1.5 completed all six equalized 100k-read fetal-brain PromethION comparison datasets with the SSOT-verified frozen pipeline and validator_v0.3.1.	HIGH	All six samples passed 11b, raw-read projection, motif-job preparation, baseline/refinement/finalization, exact-span calibration, calibrated evidence, and v0.3.3 span normalization. ENCSR327TOR 11j was reconciled as an expected-count metadata-only issue; no algorithm recomputation was required.	/mnt/intelssd/rnatr_project/qc/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.qc.tsv	2026-08-07T03:03:38+00:00
step11_status	project_state	Step 11 remains in progress	Step 11 is not complete despite completed P0/P1 and P3 subbranches.	HIGH	The build tracker explicitly retains Step 11 as in_progress.	/mnt/intelssd/rnatr_project/metadata/build_tracker/checkpoints/20260803_182703_step11_rna_repeat_pilot/step11_checkpoint.md	2026-08-06T00:00:00+00:00
stage15c_runtime_path_binding_resolution_v0_1_0	provenance	Treat the Stage15A 250k internal run-ID alias as historical only	The Stage15A 250k compatibility alias remains historical provenance and is not a release contract. Stage15C v0.1.6 uses runtime-bound 11b/11d3/11e sources, audits all generated shard scripts, rejects obsolete template run IDs and mapping-run IDs in analysis scripts, and binds the full analysis run identity explicitly.	HIGH	Exact Stage15C v0.1.6 source and runtime-path binding amendment close the PRE-RC provenance concern for the validated candidate without rewriting the historical 250k artifact.	/mnt/intelssd/rnatr_project/metadata/stage15c/runtime_path_binding_amendment_v0.1.6/rnatr_stage15c_runtime_path_binding_amendment_v0.1.6.json	2026-08-11T00:30:00+00:00
primary_locus_catalog	reference	Primary locus and motif catalog	TRExplorer v2 is the primary GRCh38 locus, boundary, and motif-prior catalog.	HIGH	It provides near-complete addressability of the 11,042 pilot loci; RNA read sequence remains primary for observed molecule composition.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
primary_population_reference	reference	Primary DNA population distribution	AoU PacBio HiFi validation cohort (2,102 individuals) is the primary genome-wide DNA repeat-length and LPS context.	HIGH	Large long-read cohort with allele-length and LPS percentiles; cohorts are not silently pooled.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
tr_atlas_role	reference	TR-Atlas role	TR-Atlas is supplementary short-read population context only; no further genome-wide live crawl is planned.	HIGH	It is not the primary source for long-repeat sizing or motif decomposition.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
canonical_release_gate_table_v0_3_5	release_governance	Promote release-gate table v0.3.5 as current	Use validation/release_gates_v0.3.5.tsv as the current release-gate table. It preserves prior gates and records the formal G25-G30 Stage16AB adjudication; v0.3.4 remains historical/Freeze-era evidence.	HIGH	The prior current pointer contradicted accepted Stage16 evidence.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/validation/release_gates_v0.3.5.tsv	2026-08-17T08:00:14+00:00
public_rc_pro_audit_pre_remediation_v0_1_0	release_governance	Record final Pro pre-remediation adjudication	The first final Pro adjudication found no scientific/runtime failure but required four metadata/governance packaging remediations before final PASS.	HIGH	Canonical gate and algorithm-contract drift, exact RC evidence binding, and root CHANGELOG completeness required correction.	/mnt/intelssd/rnatr_project/metadata/ssot/checkpoints/stage16am_final_pro_metadata_remediation_v0.1.0/2026-08-17T080014+0000/originals/extracted/rnatr_stage16al_final_pro_crosscut_audit_pre_remediation_v0.1.0.json	2026-08-17T08:00:14+00:00
public_rc_pro_crosscut_audit_pass_v0_1_0	release_governance	Accept the final Pro cross-cut audit	The exact post-remediation RNA-TR-Scout v0.5.0 RC passes the final Pro audit for Freeze integrity, scientific/runtime identity, release packaging, standard resources, scoped portability, documentation, repository hygiene and SSOT/Git/docs consistency. Proceed only to guarded final-version and public-release binding.	HIGH	Stage16AN reread the Stage16AH/AL/AM evidence, exact remote commit/tree, current governance tables and the validated source archive; no blocking finding remains.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16AN_FINAL_PRO_CROSSCUT_AUDIT_v0.1.0.md	2026-08-17T08:35:10+00:00
public_rc_single_pro_crosscut_audit_required_v0_1_0	release_governance	Require one Pro cross-cut audit immediately before public RC	Before declaring the public v0.5.0 release candidate, perform one Pro-level cross-cut audit of Freeze exact state, current main, active production path, reference/catalog/mapping/CLI/install, golden and validation evidence, cross-hardware results, documentation, unresolved scope, and SSOT/Git/docs state consistency.	HIGH	The existing architecture-audit cadence already requires a pre-release-candidate audit; this decision fixes the post-Freeze Stage16 timing and scope while allowing normal High-mode engineering to continue beforehand.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16T_USER_FACING_DOCUMENTATION_REVIEW_v0.1.0.md	2026-08-17T01:39:02+00:00
public_v050_release_binding_v0_1_0	release_governance	Accept RNA-TR-Scout v0.5.0 as the public bound release	Accept public RNA-TR-Scout v0.5.0 as bound to annotated tag object b6387580..., exact commit 9205049e..., tree feeca99e..., checksummed source/binding assets, public clone/setup evidence, BSD-3-Clause license detection, and tag-bound CITATION metadata.	HIGH	The final live Pro audit rechecked the public repository, tag object/target, Release metadata, downloaded asset hashes, binding manifest, citation, license and prior public-source setup evidence with zero blocking finding.	/mnt/intelssd/rnatr_git_stage/LOCAL_CORE_FREEZE_V0.1.0_git_snapshot_v0.1.2/docs/release/STAGE16AR_PUBLIC_V050_RELEASE_BINDING_v0.1.0.md	2026-08-17T09:32:21+00:00
