component_key	component_name	implementation_state	contract_statement	active_implementation_id	evidence_path	effective_at
g31_biological_candidate_entry_interpretation_v0_1_0	G31-B biological candidate-entry interpretation	OPEN_DEFERRED_TO_BIOLOGY_LAYER	Interpret the 79.2867% candidate-entry rate, +/-500bp padding, ~4.9 loci/read, catalog overlap, motif equivalence, and recall-preserving narrowing only in the later biology/optimization phase.		/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/candidate_entry_rate_and_reason_audit.tsv	2026-08-10T00:00:00+00:00
g31_technical_multiplicity_integrity_v0_1_0	G31-T technical multiplicity integrity	PASS_WITH_SCOPE_AMENDMENT	Technical freeze accepts row conservation, primary-ID uniqueness, stable cross-scale candidate rate/multiplicity, minimal read-locus excess, and low target concentration as evidence against scale-dependent runaway. The original machine FAIL remains historical evidence.	impl_stage15d_g31_audit_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15d_g31_row_expansion_audit.qc.tsv	2026-08-10T00:00:00+00:00
general_caller_deterministic_tie_break_v041	General caller deterministic orientation tie break	FROZEN_V0.4.1	Existing score/ranking semantics are unchanged. On an otherwise exact orientation tie, evaluate input/canonical motif first, reverse complement second, and retain first on equality. Hash/set iteration order is never semantic input.		/mnt/intelssd/rnatr_project/validation/TIE_BREAKING_CONTRACT_general_caller_v0.4.1.md	2026-08-06T00:00:00+00:00
general_caller_freeze	General repeat caller freeze	FROZEN_V0.4.0	General caller measurement semantics are frozen for production-integration and performance work. Subsequent optimization must preserve v0.4.0 call semantics and pass frozen regression/benchmark gates.		/mnt/intelssd/rnatr_project/metadata/general_caller/general_repeat_caller_freeze_v0.4.0.tsv	2026-08-06T00:00:00+00:00
generic_active_core_path_v0_1_0	Generic active Core production entry	ACTIVE	The public Core entry takes mapped BAM plus read-coherent source FASTQ and explicit run/sample/work/output/sharding/concurrency parameters, resolves project-relative checksum-pinned resources, and invokes the generic sharded Core without dataset or developer-machine binding.	impl_core_generic_production_entry_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
generic_sharded_orchestrator_v0_1_2	Generic sharded Core orchestrator v0.1.2	ACTIVE_SUPPORT	Use the frozen read-ID SHA-256 partition, bounded validated units, deterministic defensive k-way merge, validate-before-atomic-publication, SHA-bound resume/no-op, and recovery of missing final state from an already published validated package with zero scientific commands.	impl_core_generic_sharded_v0_1_2	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
generic_unit_runner_v0_1_1	Generic read-coherent Core unit v0.1.1	ACTIVE_SUPPORT	Execute the exact frozen target assignment, raw-read projection, motif preparation, caller v0.4.1, materializer v0.1.2 and schema v0.4.2 validators for one read-coherent BAM/FASTQ unit.	impl_core_generic_unit_v0_1_1	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
interpretation_hierarchy_v0_1_0	Molecule-to-dossier interpretation hierarchy v0.1.0	DESIGNED_NOT_IMPLEMENTED	Interpretation proceeds from raw repeat evidence to molecule_repeat_state, censor-aware sample_locus_summary, purpose-specific ranking lanes, and researcher-facing dossier. Molecule-level distributions and reverse traceability are mandatory.		/mnt/intelssd/rnatr_project/docs/stage15a/RNA_TR_Scout_Biology_ready_interpretation_output_contract_v0.1.0.md	2026-08-06T00:00:00+00:00
locus_assignment	Locus assignment	IMPLEMENTED	Catalog-guided target assignment uses splice-aware genomic mapping, 500-bp candidate padding, N-excluded alignment blocks, D-inclusive reference blocks, and retention of secondary/supplementary alignments.	impl_e7e046cdd146161435cc918c	/mnt/intelssd/rnatr_project/metadata/build_tracker/checkpoints/20260803_182703_step11_rna_repeat_pilot/step11_checkpoint.md	2026-08-06T00:00:00+00:00
molecule_vs_locus_statistics	Molecule and locus statistics	IMPLEMENTED	Single-read/extreme-molecule evidence, maximum, and locus-level median shifts are kept distinct.		/mnt/intelssd/rnatr_project/results/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
motif_hypothesis	Motif hypothesis and rescue semantics	REFERENCE_IMPLEMENTED_V0.3.0	Catalog motif is the primary prior. De-novo/residual search through period 50 is conditionally activated only when catalog support in the projected core is inadequate, with primitive/rotation/reverse-complement collapse and alternative score reporting.		/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.3.0.md	2026-08-06T00:00:00+00:00
population_context	DNA population context	IMPLEMENTED_WITH_GATE	DNA long-read distributions provide population context only after validated crosswalk; they do not infer personal DNA genotype or pathogenicity from RNA.		/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
positive_golden_evidence_v0_1_0	Positive Core golden evidence	CANONICAL_FULL_EVIDENCE_SUITE_PASS	Stage15Q canonical Tier0-Tier4 full-evidence suite passed with fixed real-read/100k exact parity, negative fixtures, restart/no-op/publication recovery and release-scale scope verification.		/mnt/intelssd/rnatr_project/validation/golden/v0.1.0/rnatr_golden_regression_v014.py	2026-08-12T09:45:00+00:00
prebiology_manifest_smoke_v0_1_0	PRE_BIOLOGY manifest interface smoke v0.1.0	PASS_READ_ONLY_INTERFACE	From the formal result manifest and local binding file, resolve stable read_id to a primary BAM alignment and target_source/target_region_id/locus_id to one pinned annotation without Stage/dataset/developer-path assumptions.	impl_prebiology_manifest_smoke_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
raw_read_projection	Raw-read projection	IMPLEMENTED	Assigned genomic targets are projected to raw-read coordinates by the adopted 11d3 v0.3.3 implementation.	impl_af6072bfd6029316076d69f0	/mnt/intelssd/rnatr_project/metadata/build_tracker/checkpoints/20260803_182703_step11_rna_repeat_pilot/step11_checkpoint.md	2026-08-06T00:00:00+00:00
release_readiness_g25_g30_v0_1_0	Internal-beta release readiness G25-G30	DESIGNED_NOT_IMPLEMENTED	Portable reference bootstrap, resource detection, adaptive concurrency, cross-hardware determinism, clean-machine install, and empirical hardware profiles remain required before internal beta/release candidate. Stage15E does not close these gates.		/mnt/intelssd/rnatr_project/validation/release_gates_v0.3.1.tsv	2026-08-10T12:30:00+00:00
repeat_definition	Repeat definition and sizing	FROZEN_REFERENCE_V0.4.0	Frozen reference v0.4.0 uses locus-core motif anchoring followed by geometric tract expansion, raw-read cyclic error-aware sizing, compound/interruption segmentation, and dual LPS semantics. Expansion beyond the projected prior is permitted when the locus remains overlapped; projection-window edges yield context-limited lower bounds.		/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.4.0.md	2026-08-06T00:00:00+00:00
rna_lps	RNA longest pure segment	REFERENCE_DUAL_LPS_IMPLEMENTED_V0.2.0	Reference v0.2.0 reports lps_exact_sequence_bp separately from lps_inferred_bp. These are engineering reference semantics and must remain distinct in later optimized implementations.		/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.2.0.md	2026-08-06T00:00:00+00:00
stage15a_checkpoint_reproducibility_v0_1_0	Stage 15A checkpoint logical reproducibility amendment v0.1.0	LOGICAL_REPRODUCIBILITY_PASS_ORIGINAL_QC_SUPERSEDED	Checkpoint reproducibility is established only by role×shard A/B comparison using decompressed bytes for compressed deterministic TSVs, timing-excluded semantic metrics for runtime QC, and raw bytes for other deterministic artifacts. The original v0.1.2 boolean claim is historical but unsupported as implemented.	impl_stage15a_archaudit_post250k_v0_1_1	/mnt/intelssd/rnatr_project/qc/15_architecture_consistency_audit/ENCSR307SHM_stage15a250k_seed20260808_mm2splice_v1/post_250k_v0.1.1/checkpoint_logical_reproducibility.tsv	2026-08-09T00:00:00+00:00
stage15b_memory_bounded_validator_v0_1_0	Stage15B memory-bounded package validator	EQUIVALENCE_PASS_PROVISIONAL_NOT_ACTIVE	Shard-wise frozen v0.4.2 validation plus exact global external-sort primary-ID uniqueness must preserve frozen accept/reject semantics. Positive 100k/500k and 10 negative fixtures pass. Scope excludes locus aggregation.	impl_stage15b_memory_bounded_validator_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15b_memory_bounded_validator/ENCSR307SHM_stage15a500k_seed20260809_mm2splice_v1/v0.1.0/stage15b_memory_bounded_validator.qc.tsv	2026-08-10T00:00:00+00:00
stage15c_fullscale_execution_v0_1_6	Stage15C full-scale execution contract	EMPIRICAL_FULLSCALE_PASS_WITH_TOLERANCE_STAGE15E_DETERMINISM_RESTART_PASS_SCOPED	Use 144 read-coherent shards, concurrency 12, caller workers 2/shard, validator workers 3, 512M external sort, PYTHONHASHSEED=0 for the clean benchmark, prepartition runtime-script/path audit, bounded validation, and atomic publication. Stage15E adds checkpoint-based different-hash-seed reconstruction and selective caller-to-final resume evidence; active promotion and G25-G30 remain open.	impl_stage15c_full_runner_v0_1_6	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
stage15e_release_scale_determinism_restart_v0_1_0	Stage15E release-scale determinism and restart/resume	PASS_CHECKPOINT_BASED_RECONSTRUCTION_AND_SELECTIVE_CALLER_TO_FINAL_RESUME	Rehash the frozen 1,884-artifact checkpoint before reuse; reject SHA drift; fresh-run the target caller under a different hash seed; stop before materialization; selectively resume materializer and 144-shard reconstruction; require clean-package parity and all frozen validators before atomic publication; require second resume to be a no-op. Scope excludes upstream BAM partition/11b/11d3/11e full rerun and cross-hardware claims.	impl_stage15e_combined_determinism_restart_v0_1_0	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
transcript_observability	Transcript projection and repeat observability	DESIGNED_NOT_IMPLEMENTED	The design distinguishes repeat absent from repeat not reached and will project loci to CDS/UTR/intron/isoform context after core caller stabilization.		/mnt/intelssd/rnatr_project/docs/design	2026-08-06T00:00:00+00:00
unmapped_alignment_validation	Unmapped alignment validation	IMPLEMENTED	Unmapped BAM rows remain in full-read accounting with strand='.' accepted by validator_v0.3.1.	impl_e7e046cdd146161435cc918c	/mnt/intelssd/rnatr_project/config/evidence_schema/v0.3/patches/validator_v0.3.1/rnatr_v03_validate_tsv_validator_v0.3.1.py	2026-08-06T00:00:00+00:00
validation_truth_hierarchy	Validation truth hierarchy	ACTIVE_V0.1.0	Correctness evidence is ordered: Tier 1 constructed truth > Tier 2 experimental/orthogonal truth > Tier 3 replicate/cross-platform empirical agreement > Tier 4 software regression. Lower tiers cannot override higher-tier truth.		/mnt/intelssd/rnatr_project/validation/VALIDATION_CONTRACT_v0.1.0.md	2026-08-06T00:00:00+00:00
