interpretation_key	fact_statement	interpretation	do_not_interpret_as	confidence	evidence_path	effective_at
population_coverage	TRExplorer strict motif coverage is 11,028/11,042 and long-read population context is available for approximately 79.3% of pilot loci.	Catalog addressability is nearly complete; population-distribution coverage remains incomplete but is no longer the dominant 3.65% bottleneck.	Do not describe 11,042 as all genomic TR loci or 79.3% as universal genome coverage.	HIGH	/mnt/intelssd/rnatr_project/results/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/latest/summary/population_coverage_accounting.tsv	2026-08-06T00:00:00+00:00
prebiology_interface_smoke_scope_v0_1_0	The portable result manifest resolves a stable read identifier to BAM and a stable target/locus identity to pinned annotation in read-only smoke tests.	The Core exposes a viable biology-layer connection interface before Freeze.	Do not interpret the smoke as implementation or validation of isoform, haplotype, observability, ranking, or disease biology.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
prerc_architecture_audit_scope_v0_1_0	The exact-original PRE-RC audit found stale current-state SSOT rows and unclassified lifecycle records; Stage15G remediation changes metadata/governance state only and verifies byte-identical current_pipeline and frozen schema.	PRE-RC consistency can pass after remediation without rerunning or modifying scientific outputs. Active-path promotion, clean-install release readiness, Core Freeze Packet, golden regression, docs canonicalization, and PRE_BIOLOGY audit remain separate open gates.	Do not interpret PRE-RC metadata remediation as active promotion, Core Freeze, biological validation, clean-install readiness, or cross-hardware determinism.	HIGH	/mnt/intelssd/rnatr_project/docs/stage15g/RNA_TR_Scout_PRE_RELEASE_CANDIDATE_Architecture_audit_v0.1.1.md	2026-08-11T00:30:00+00:00
real_p01_regression_driver_audit_stage12c	In the 60-row real P0/P1 software-regression audit, likely drivers were tract-boundary extension 21, small difference 19, motif selection/de-novo 11, window edge/context 5, internal sizing semantics 3, and compound/interruption 1.	The next reference caller should constrain motif/tract selection to remain locus-anchored and should distinguish artificial sequence-window limits from explicit molecule censoring.	Do not interpret these 60 rows as an accuracy estimate, biological distribution, normal range, or population technical floor.	HIGH	/mnt/intelssd/rnatr_project/qc/12_general_repeat_caller_real_regression_audit/v0.2.0/general_repeat_caller_real_regression_audit.qc.tsv	2026-08-07T05:00:00+00:00
real_p01_regression_v0_2_0_is_engineering_fixture	Sixty real P0/P1 exact-span seed rows were materialized back to raw read/window sequence and called by reference v0.2.0.	This provides a real-data engineering regression set for tracking semantic changes while the general caller is developed.	Do not use the 60-row regression comparison as a biological accuracy estimate, technical population distribution, pathogenicity result, or acceptance threshold for repeat length differences.	HIGH	/mnt/intelssd/rnatr_project/benchmarks/general_repeat_caller/v0.2.0/real_p01_regression.qc.tsv	2026-08-07T03:50:00+00:00
rna_dna_median_difference	Across comparable loci, RNA median minus AoU DNA median is centered at 0 bp with typical 10th–90th percentile differences of roughly -1.5 to +2 bp.	Most small RNA-versus-DNA differences are within a technical floor rather than persuasive biological shifts.	Do not promote 1–4 bp differences or single-read maximum exceedances as definitive extension or shortening.	MODERATE	/mnt/intelssd/rnatr_project/results/11_population_relative_length_bias_stratification/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-06T00:00:00+00:00
stage15a_reference_correctness_scope	Stage15J and Stage15L reproduce the frozen 100k reference exactly through generic unit and generic sharded paths, while Stage15C and Stage15E retain empirical full-scale and scoped release-scale restart evidence.	The accepted positive golden evidence now supports active-path promotion. G33 nevertheless remains open until fixed inputs, executable suite, negative fixtures and canonical placement are frozen.	Do not interpret active-path promotion as completion of the canonical golden regression suite, clean-install release, cross-hardware proof, biology implementation, or Core Freeze.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15n_generic_active_path_promotion/v0.1.0/stage15n_generic_active_path_promotion.qc.tsv	2026-08-11T15:30:00+00:00
stage15c_full_runtime_60_041_minutes_v0_1_0	The empirical BAM-to-final timer was 60.041256352 minutes; mapping was excluded while partition, validators, and atomic publication were included.	This satisfies the predeclared documented first-freeze tolerance but not the strict <=60.000-minute threshold.	Do not report this result as strict 60-minute PASS or as meeting the 30-minute target.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15c_fullscale_bam_to_final/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.6/stage15c_full_empirical_run.qc.tsv	2026-08-10T00:00:00+00:00
stage15e_corruption_fixture_scope_v0_1_0	The negative fixture changed the expected SHA in a copied manifest and the same checkpoint validator rejected the mismatch without modifying source artifacts.	The SHA-binding rejection path is validated.	A physical bit-flip of the source checkpoint artifact or every possible corruption mode.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/negative_fixture/corrupt_checkpoint_rejection.qc.tsv	2026-08-10T12:30:00+00:00
stage15e_full_package_parity_v0_1_0	The reconstructed five-table package matched the clean Stage15C package at all required plain/raw and gzip/logical comparison points.	Within the checkpoint-based scope, scientific output is reproducible under a different hash seed and selective target-shard recomputation.	An independent upstream full rerun, arbitrary upstream recovery, or cross-machine reproducibility.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/determinism/full_package_table_parity.tsv	2026-08-10T12:30:00+00:00
stage15e_second_resume_idempotence_v0_1_0	The second resume executed zero scientific commands and preserved 20 scientific artifacts by size, mtime, inode, device, and SHA-256.	The completed Stage15E resume state is idempotent and does not silently rewrite the scientific package.	A guarantee for future changed code, references, parameters, or arbitrary upstream checkpoints.	HIGH	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/noop/second_resume_noop.qc.tsv	2026-08-10T12:30:00+00:00
stage6am_coarse_yield_sanity_only	The target final P0/P1 evidence count and exact-span count fall within the six-sample replay ranges.	No gross target-specific pipeline-yield failure is apparent at this coarse engineering level.	Do not interpret six-sample similarity as a locus-specific normal range, technical floor, pathogenicity result, or personal DNA genotype.	HIGH	/mnt/intelssd/rnatr_project/results/11_six_sample_frozen_p01_replay/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_six_sample_frozen_p01_replay_v0.1.5/six_sample_frozen_p01_replay.summary.tsv	2026-08-07T03:30:00+00:00
v04_boundary_tradeoff_stage12f	In the paired 60-row v0.3/v0.4 software regression, 50/60 calls were within 5 bp, 10 were >20 bp longer in v0.4, nine had >25 bp additional extension, five newly reached projection-window context edges, and zero changed motif identity.	The observed v0.4 extension tradeoff does not justify truncating the caller back toward the legacy implementation. Simulation truth demonstrates that larger search windows are required to recover repeats substantially longer than the projected prior, while context-edge calls already have lower-bound semantics.	Do not treat legacy P0/P1 repeat length as ground truth, do not interpret the 60-row set as a biological normal range, and do not infer pathogenicity from the simulated disease-inspired motifs.	HIGH	/mnt/intelssd/rnatr_project/qc/12_general_repeat_caller_v03_v04_paired_regression_audit/v0.1.0/v03_v04_paired_real_regression.qc.tsv	2026-08-07T07:15:00+00:00
