limitation_key	severity	statement	mitigation	evidence_path	effective_at
STAGE15E_CHECKPOINT_BASED_SCOPE_NOT_UPSTREAM_FULL_RERUN	HIGH	Stage15E proves checkpoint-based reconstruction with one fresh target shard and selective caller-to-final resume; it is not an independent upstream BAM partition/11b/11d3/11e full rerun.	Do not generalize the evidence beyond the registered scope; retain G28 and clean-install gates.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
STAGE15E_SAME_MACHINE_NOT_CROSS_HARDWARE	HIGH	Stage15E was executed on the same machine and does not establish scientific reproducibility across supported hardware/concurrency profiles.	Close G28 with explicit cross-profile and cross-machine comparisons.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv	2026-08-10T12:30:00+00:00
G31_BIOLOGICAL_CANDIDATE_ENTRY_DEFERRED	MODERATE	The biological meaning and optimality of the 79.2867% candidate-entry rate and ~4.9 loci/read remain unresolved.	Address in the biology/optimization layer without blocking current technical-freeze planning.	/mnt/intelssd/rnatr_project/qc/15_stage15d_g31_row_expansion_audit/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/candidate_entry_rate_and_reason_audit.tsv	2026-08-10T00:00:00+00:00
GENERIC_ACTIVE_PATH_MAPPING_IS_SEPARATE_BASELINE	MODERATE	The active Core starts from mapped BAM plus source FASTQ and does not itself execute FASTQ-to-BAM mapping.	Keep the minimap2 splice baseline separately versioned; evaluate any mapping acceleration only in the post-Freeze Performance lane with scientific parity gates.	/mnt/intelssd/rnatr_project/docs/stage15n/RNA_TR_Scout_Stage15N_generic_active_path_promotion_contract_v0.1.0.md	2026-08-11T15:30:00+00:00
LIBRARY_METHOD_METADATA_INCOMPLETE	MODERATE	The target and six fetal-brain comparison datasets lack explicit library-method metadata in ENCODE.	Describe them as closely matched PromethION datasets, not proven identical-protocol controls.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
POPULATION_COVERAGE_GAP	MODERATE	Approximately 20.7% of pilot loci lack current long-read population distribution context.	Retain NOT_COMPARABLE; reconcile Vienna and add validated sources without unsafe overlap matching.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
STAGE15C_FULL_RUNTIME_USES_DOCUMENTED_TOLERANCE	MODERATE	The empirical full BAM-to-final runtime is 60.041256352 minutes and therefore is not strict <=60-minute PASS.	Retain exact wording in SSOT, thesis, release notes, and benchmark tables; continue the 30-minute optimization target.	/mnt/intelssd/rnatr_project/qc/15_stage15c_fullscale_bam_to_final/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.6/stage15c_full_empirical_run.qc.tsv	2026-08-10T00:00:00+00:00
STAGE15E_CORRUPTION_FIXTURE_IS_COPIED_MANIFEST_SHA_MISMATCH	MODERATE	The corruption negative fixture altered an expected SHA in a copied manifest, not the source checkpoint bytes.	Interpret as validation of SHA-bound rejection logic, not exhaustive physical-corruption coverage.	/mnt/intelssd/rnatr_project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/negative_fixture/corrupt_checkpoint_rejection.qc.tsv	2026-08-10T12:30:00+00:00
VIENNA_BOUNDARY_UNRESOLVED	MODERATE	Vienna ONT exact-coordinate coverage is zero under current exact matching because boundary definitions differ.	Perform overlap plus motif reconciliation as a separate audited stage.	/mnt/intelssd/rnatr_project/docs/design/RNA-TR-Scout_population_reference_hierarchy_20260805.md	2026-08-06T00:00:00+00:00
REFERENCE_COMPOUND_SEGMENTATION_HEURISTIC	MEDIUM	Reference v0.2.0 compound/interruption segmentation is a conservative engineering implementation, not yet a production statistical model.	Retain v0.1.0 single-motif semantics unless explicit multi-segment evidence is present; validate with broader simulation and disease-locus fixtures before production use.	/mnt/intelssd/rnatr_project/docs/design/RNA_TR_Scout_general_repeat_caller_reference_v0.2.0.md	2026-08-07T03:50:00+00:00
V04_LONG_EXTENSION_CONFIDENCE	MEDIUM	Reference v0.4.0 intentionally permits locus-anchored tract extension beyond a short projected prior. In the 60-row software regression, 10 calls were >20 bp longer than v0.3; five newly reached projection-window context edges. These differences are not evidence of biological error because the frozen P0/P1 caller is not truth.	Keep v0.4.0 expansion recovery. Treat projection-window edge calls as context-limited lower bounds, retain purity and boundary/context metadata, and validate selected long-extension cases on full raw reads or orthogonal truth in later benchmark work.	/mnt/intelssd/rnatr_project/qc/12_general_repeat_caller_v03_v04_paired_regression_audit/v0.1.0/v03_v04_paired_real_regression.qc.tsv	2026-08-07T07:15:00+00:00
